Round,RPi,Treatment,Pre_exp_treat,Tube,Solution,Start,End,Change,Notes,Solution_2,Solution_3,Solution_4
5,9,Nic_nochoice,Nicotine,R,S2,3.6208,3.4459,0.1749,Alive,S2,S1,S1
5,10,Nic_nochoice,Nicotine,L,S2,3.5866,3.2932,0.2934,Alive,S2,S1,S1
5,10,Nic_nochoice,Nicotine,R,S1,3.5879,3.423,0.1649,Alive,S1,S2,S2
6,2,Nic_nochoice,Nicotine,L,S1,3.5042,3.2615,0.2427,Alive,S2,S2,S1
6,2,Nic_nochoice,Nicotine,R,S2,3.4923,3.3804,0.1119,Alive,S1,S1,S2
6,3,Nic_nochoice,Nicotine,L,S1,3.505,3.3859,0.1191,Alive,S2,S1,S2
6,3,Nic_nochoice,Nicotine,R,S2,3.5192,3.4506,0.0686,Alive,S1,S2,S1
6,4,Nic_nochoice,Nicotine,L,S2,3.5628,3.4276,0.1352,Alive,S1,S2,S1
6,4,Nic_nochoice,Nicotine,R,S1,3.5664,3.343,0.2234,Alive,S2,S1,S2
6,5,Nic_nochoice,Nicotine,L,S2,3.5605,3.494,0.0665,Alive,S1,S1,S2
6,5,Nic_nochoice,Nicotine,R,S1,3.5403,3.2297,0.3106,Alive,S2,S2,S1
6,6,Nic_nochoice,Nicotine,L,S2,3.5277,3.3728,0.1549,Alive,S1,S2,S1
6,6,Nic_nochoice,Nicotine,R,S1,3.4848,3.1896,0.2952,Alive,S2,S1,S2
6,7,Nic_nochoice,Nicotine,L,S1,3.5892,3.4388,0.1504,Died,S2,S1,S1
6,7,Nic_nochoice,Nicotine,R,S2,3.5304,3.3681,0.1623,Died,S1,S2,S2
6,8,Nic_choice,Nicotine,L,N,3.513,3.4508,0.0622,Died,N,N,N
6,8,Nic_choice,Nicotine,R,S,3.5289,3.4651,0.0638,Died,S,S,S
6,9,Nic_choice,Nicotine,L,N,3.5677,3.4662,0.1015,Died,N,N,N
6,9,Nic_choice,Nicotine,R,S,3.5837,3.4972,0.0865,Died,S,S,S
6,10,Suc_choice,Sucrose,L,S,3.4966,3.4352,0.0614,Alive,S,S,S
6,10,Suc_choice,Sucrose,R,N,3.5949,3.5214,0.0735,Alive,N,N,N
7,2,Nic_nochoice,Nicotine,L,S1,3.5478,3.4733,0.0745,Alive,S1,S2,S2
